Date,Name,NAV
06/23/2009,Vanguard Glb Bd Idx £ H Dist,100
06/24/2009,Vanguard Glb Bd Idx £ H Dist,99.0963
06/25/2009,Vanguard Glb Bd Idx £ H Dist,99.9458
06/26/2009,Vanguard Glb Bd Idx £ H Dist,99.4193
06/27/2009,Vanguard Glb Bd Idx £ H Dist,99.4193
06/28/2009,Vanguard Glb Bd Idx £ H Dist,99.4193
06/29/2009,Vanguard Glb Bd Idx £ H Dist,99.2518
06/30/2009,Vanguard Glb Bd Idx £ H Dist,99.4915
07/01/2009,Vanguard Glb Bd Idx £ H Dist,99.661
07/02/2009,Vanguard Glb Bd Idx £ H Dist,100.3631
07/03/2009,Vanguard Glb Bd Idx £ H Dist,100.3631
07/04/2009,Vanguard Glb Bd Idx £ H Dist,100.3631
07/05/2009,Vanguard Glb Bd Idx £ H Dist,100.3631
07/06/2009,Vanguard Glb Bd Idx £ H Dist,101.4935
07/07/2009,Vanguard Glb Bd Idx £ H Dist,101.7633
07/08/2009,Vanguard Glb Bd Idx £ H Dist,102.5848
07/09/2009,Vanguard Glb Bd Idx £ H Dist,101.9529
07/10/2009,Vanguard Glb Bd Idx £ H Dist,102.3551
07/11/2009,Vanguard Glb Bd Idx £ H Dist,102.3551
07/12/2009,Vanguard Glb Bd Idx £ H Dist,102.3551
07/13/2009,Vanguard Glb Bd Idx £ H Dist,102.8526
07/14/2009,Vanguard Glb Bd Idx £ H Dist,101.6018
07/15/2009,Vanguard Glb Bd Idx £ H Dist,100.7302
07/16/2009,Vanguard Glb Bd Idx £ H Dist,100.9318
07/17/2009,Vanguard Glb Bd Idx £ H Dist,101.3731
07/18/2009,Vanguard Glb Bd Idx £ H Dist,101.3731
07/19/2009,Vanguard Glb Bd Idx £ H Dist,101.3731
07/20/2009,Vanguard Glb Bd Idx £ H Dist,100.8506
07/21/2009,Vanguard Glb Bd Idx £ H Dist,101.4082
07/22/2009,Vanguard Glb Bd Idx £ H Dist,101.3831
07/23/2009,Vanguard Glb Bd Idx £ H Dist,100.4383
07/24/2009,Vanguard Glb Bd Idx £ H Dist,101.1384
07/25/2009,Vanguard Glb Bd Idx £ H Dist,101.1384
07/26/2009,Vanguard Glb Bd Idx £ H Dist,101.1384
07/27/2009,Vanguard Glb Bd Idx £ H Dist,100.6148
07/28/2009,Vanguard Glb Bd Idx £ H Dist,101.016
07/29/2009,Vanguard Glb Bd Idx £ H Dist,101.0682
07/30/2009,Vanguard Glb Bd Idx £ H Dist,100.6369
07/31/2009,Vanguard Glb Bd Idx £ H Dist,100.9669
08/01/2009,Vanguard Glb Bd Idx £ H Dist,100.9669
08/02/2009,Vanguard Glb Bd Idx £ H Dist,100.9669
08/03/2009,Vanguard Glb Bd Idx £ H Dist,100.9669
08/04/2009,Vanguard Glb Bd Idx £ H Dist,99.3437
08/05/2009,Vanguard Glb Bd Idx £ H Dist,98.983
08/06/2009,Vanguard Glb Bd Idx £ H Dist,99.8107
08/07/2009,Vanguard Glb Bd Idx £ H Dist,99.5051
08/08/2009,Vanguard Glb Bd Idx £ H Dist,99.5051
08/09/2009,Vanguard Glb Bd Idx £ H Dist,99.5051
08/10/2009,Vanguard Glb Bd Idx £ H Dist,100.4734
08/11/2009,Vanguard Glb Bd Idx £ H Dist,100.9712
08/12/2009,Vanguard Glb Bd Idx £ H Dist,100.9283
08/13/2009,Vanguard Glb Bd Idx £ H Dist,101.2335
08/14/2009,Vanguard Glb Bd Idx £ H Dist,101.8914
08/15/2009,Vanguard Glb Bd Idx £ H Dist,101.8914
08/16/2009,Vanguard Glb Bd Idx £ H Dist,101.8914
08/17/2009,Vanguard Glb Bd Idx £ H Dist,102.9724
08/18/2009,Vanguard Glb Bd Idx £ H Dist,101.6425
08/19/2009,Vanguard Glb Bd Idx £ H Dist,102.3985
08/20/2009,Vanguard Glb Bd Idx £ H Dist,102.4897
08/21/2009,Vanguard Glb Bd Idx £ H Dist,102.2983
08/22/2009,Vanguard Glb Bd Idx £ H Dist,102.2983
08/23/2009,Vanguard Glb Bd Idx £ H Dist,102.2983
08/24/2009,Vanguard Glb Bd Idx £ H Dist,103.0065
08/25/2009,Vanguard Glb Bd Idx £ H Dist,103.529
08/26/2009,Vanguard Glb Bd Idx £ H Dist,104.3024
08/27/2009,Vanguard Glb Bd Idx £ H Dist,104.6664
08/28/2009,Vanguard Glb Bd Idx £ H Dist,104.27
08/29/2009,Vanguard Glb Bd Idx £ H Dist,104.27
08/30/2009,Vanguard Glb Bd Idx £ H Dist,104.27
08/31/2009,Vanguard Glb Bd Idx £ H Dist,104.5116
09/01/2009,Vanguard Glb Bd Idx £ H Dist,104.8285
09/02/2009,Vanguard Glb Bd Idx £ H Dist,104.7698
09/03/2009,Vanguard Glb Bd Idx £ H Dist,104.2027
09/04/2009,Vanguard Glb Bd Idx £ H Dist,103.9643
09/05/2009,Vanguard Glb Bd Idx £ H Dist,103.9643
09/06/2009,Vanguard Glb Bd Idx £ H Dist,103.9643
09/07/2009,Vanguard Glb Bd Idx £ H Dist,103.9643
09/08/2009,Vanguard Glb Bd Idx £ H Dist,103.5237
09/09/2009,Vanguard Glb Bd Idx £ H Dist,103.6684
09/10/2009,Vanguard Glb Bd Idx £ H Dist,103.3214
09/11/2009,Vanguard Glb Bd Idx £ H Dist,103.7216
09/12/2009,Vanguard Glb Bd Idx £ H Dist,103.7216
09/13/2009,Vanguard Glb Bd Idx £ H Dist,103.7216
09/14/2009,Vanguard Glb Bd Idx £ H Dist,104.1399
09/15/2009,Vanguard Glb Bd Idx £ H Dist,104.9912
09/16/2009,Vanguard Glb Bd Idx £ H Dist,104.812
09/17/2009,Vanguard Glb Bd Idx £ H Dist,104.8226
09/18/2009,Vanguard Glb Bd Idx £ H Dist,106.0975
09/19/2009,Vanguard Glb Bd Idx £ H Dist,106.0975
09/20/2009,Vanguard Glb Bd Idx £ H Dist,106.0975
09/21/2009,Vanguard Glb Bd Idx £ H Dist,106.3929
09/22/2009,Vanguard Glb Bd Idx £ H Dist,105.8572
09/23/2009,Vanguard Glb Bd Idx £ H Dist,105.6123
09/24/2009,Vanguard Glb Bd Idx £ H Dist,107.8737
09/25/2009,Vanguard Glb Bd Idx £ H Dist,109.0319
09/26/2009,Vanguard Glb Bd Idx £ H Dist,109.0319
09/27/2009,Vanguard Glb Bd Idx £ H Dist,109.0319
09/28/2009,Vanguard Glb Bd Idx £ H Dist,109.5137
09/29/2009,Vanguard Glb Bd Idx £ H Dist,108.8163
09/30/2009,Vanguard Glb Bd Idx £ H Dist,108.5956
10/01/2009,Vanguard Glb Bd Idx £ H Dist,108.6923
10/02/2009,Vanguard Glb Bd Idx £ H Dist,109.5189
10/03/2009,Vanguard Glb Bd Idx £ H Dist,109.5189
10/04/2009,Vanguard Glb Bd Idx £ H Dist,109.5189
10/05/2009,Vanguard Glb Bd Idx £ H Dist,109.2855
10/06/2009,Vanguard Glb Bd Idx £ H Dist,109.8526
10/07/2009,Vanguard Glb Bd Idx £ H Dist,109.905
10/08/2009,Vanguard Glb Bd Idx £ H Dist,109.0166
10/09/2009,Vanguard Glb Bd Idx £ H Dist,109.461
10/10/2009,Vanguard Glb Bd Idx £ H Dist,109.461
10/11/2009,Vanguard Glb Bd Idx £ H Dist,109.461
10/12/2009,Vanguard Glb Bd Idx £ H Dist,110.5531
10/13/2009,Vanguard Glb Bd Idx £ H Dist,110.3603
10/14/2009,Vanguard Glb Bd Idx £ H Dist,109.7272
10/15/2009,Vanguard Glb Bd Idx £ H Dist,107.4004
10/16/2009,Vanguard Glb Bd Idx £ H Dist,106.6707
10/17/2009,Vanguard Glb Bd Idx £ H Dist,106.6707
10/18/2009,Vanguard Glb Bd Idx £ H Dist,106.6707
10/19/2009,Vanguard Glb Bd Idx £ H Dist,106.7144
10/20/2009,Vanguard Glb Bd Idx £ H Dist,106.4855
10/21/2009,Vanguard Glb Bd Idx £ H Dist,105.2722
10/22/2009,Vanguard Glb Bd Idx £ H Dist,105.4478
10/23/2009,Vanguard Glb Bd Idx £ H Dist,106.6746
10/24/2009,Vanguard Glb Bd Idx £ H Dist,106.6746
10/25/2009,Vanguard Glb Bd Idx £ H Dist,106.6746
10/26/2009,Vanguard Glb Bd Idx £ H Dist,106.6746
10/27/2009,Vanguard Glb Bd Idx £ H Dist,106.3821
10/28/2009,Vanguard Glb Bd Idx £ H Dist,106.2838
10/29/2009,Vanguard Glb Bd Idx £ H Dist,105.0666
10/30/2009,Vanguard Glb Bd Idx £ H Dist,105.8352
10/31/2009,Vanguard Glb Bd Idx £ H Dist,105.8399
11/01/2009,Vanguard Glb Bd Idx £ H Dist,105.8399
11/02/2009,Vanguard Glb Bd Idx £ H Dist,106.6194
11/03/2009,Vanguard Glb Bd Idx £ H Dist,106.107
11/04/2009,Vanguard Glb Bd Idx £ H Dist,105.1092
11/05/2009,Vanguard Glb Bd Idx £ H Dist,105.0969
11/06/2009,Vanguard Glb Bd Idx £ H Dist,105.2195
11/07/2009,Vanguard Glb Bd Idx £ H Dist,105.2195
11/08/2009,Vanguard Glb Bd Idx £ H Dist,105.2195
11/09/2009,Vanguard Glb Bd Idx £ H Dist,104.9155
11/10/2009,Vanguard Glb Bd Idx £ H Dist,105.1022
11/11/2009,Vanguard Glb Bd Idx £ H Dist,106.1421
11/12/2009,Vanguard Glb Bd Idx £ H Dist,106.0094
11/13/2009,Vanguard Glb Bd Idx £ H Dist,105.4618
11/14/2009,Vanguard Glb Bd Idx £ H Dist,105.4618
11/15/2009,Vanguard Glb Bd Idx £ H Dist,105.4618
11/16/2009,Vanguard Glb Bd Idx £ H Dist,105.4127
11/17/2009,Vanguard Glb Bd Idx £ H Dist,105.0799
11/18/2009,Vanguard Glb Bd Idx £ H Dist,105.593
11/19/2009,Vanguard Glb Bd Idx £ H Dist,106.2826
11/20/2009,Vanguard Glb Bd Idx £ H Dist,106.8249
11/21/2009,Vanguard Glb Bd Idx £ H Dist,106.8249
11/22/2009,Vanguard Glb Bd Idx £ H Dist,106.8249
11/23/2009,Vanguard Glb Bd Idx £ H Dist,106.5701
11/24/2009,Vanguard Glb Bd Idx £ H Dist,106.9415
11/25/2009,Vanguard Glb Bd Idx £ H Dist,107.0044
11/26/2009,Vanguard Glb Bd Idx £ H Dist,107.0044
11/27/2009,Vanguard Glb Bd Idx £ H Dist,108.2046
11/28/2009,Vanguard Glb Bd Idx £ H Dist,108.2046
11/29/2009,Vanguard Glb Bd Idx £ H Dist,108.2046
11/30/2009,Vanguard Glb Bd Idx £ H Dist,109.0488
12/01/2009,Vanguard Glb Bd Idx £ H Dist,107.8102
12/02/2009,Vanguard Glb Bd Idx £ H Dist,107.3752
12/03/2009,Vanguard Glb Bd Idx £ H Dist,107.4984
12/04/2009,Vanguard Glb Bd Idx £ H Dist,106.6755
12/05/2009,Vanguard Glb Bd Idx £ H Dist,106.6755
12/06/2009,Vanguard Glb Bd Idx £ H Dist,106.6755
12/07/2009,Vanguard Glb Bd Idx £ H Dist,107.4034
12/08/2009,Vanguard Glb Bd Idx £ H Dist,108.3469
12/09/2009,Vanguard Glb Bd Idx £ H Dist,108.9689
12/10/2009,Vanguard Glb Bd Idx £ H Dist,108.4357
12/11/2009,Vanguard Glb Bd Idx £ H Dist,107.927
12/12/2009,Vanguard Glb Bd Idx £ H Dist,107.927
12/13/2009,Vanguard Glb Bd Idx £ H Dist,107.927
12/14/2009,Vanguard Glb Bd Idx £ H Dist,108.0792
12/15/2009,Vanguard Glb Bd Idx £ H Dist,107.4447
12/16/2009,Vanguard Glb Bd Idx £ H Dist,106.8099
12/17/2009,Vanguard Glb Bd Idx £ H Dist,108.0792
12/18/2009,Vanguard Glb Bd Idx £ H Dist,108.0629
12/19/2009,Vanguard Glb Bd Idx £ H Dist,108.0629
12/20/2009,Vanguard Glb Bd Idx £ H Dist,108.0629
12/21/2009,Vanguard Glb Bd Idx £ H Dist,107.8863
12/22/2009,Vanguard Glb Bd Idx £ H Dist,108.1437
12/23/2009,Vanguard Glb Bd Idx £ H Dist,108.1758
12/24/2009,Vanguard Glb Bd Idx £ H Dist,108.323
12/25/2009,Vanguard Glb Bd Idx £ H Dist,108.323
12/26/2009,Vanguard Glb Bd Idx £ H Dist,108.323
12/27/2009,Vanguard Glb Bd Idx £ H Dist,108.323
12/28/2009,Vanguard Glb Bd Idx £ H Dist,108.323
12/29/2009,Vanguard Glb Bd Idx £ H Dist,108.323
12/30/2009,Vanguard Glb Bd Idx £ H Dist,107.423
12/31/2009,Vanguard Glb Bd Idx £ H Dist,106.1704
01/01/2010,Vanguard Glb Bd Idx £ H Dist,106.1704
01/02/2010,Vanguard Glb Bd Idx £ H Dist,106.1704
01/03/2010,Vanguard Glb Bd Idx £ H Dist,106.1704
01/04/2010,Vanguard Glb Bd Idx £ H Dist,106.9037
01/05/2010,Vanguard Glb Bd Idx £ H Dist,107.7512
01/06/2010,Vanguard Glb Bd Idx £ H Dist,107.5618
01/07/2010,Vanguard Glb Bd Idx £ H Dist,107.7578
01/08/2010,Vanguard Glb Bd Idx £ H Dist,107.7162
01/09/2010,Vanguard Glb Bd Idx £ H Dist,107.7162
01/10/2010,Vanguard Glb Bd Idx £ H Dist,107.7162
01/11/2010,Vanguard Glb Bd Idx £ H Dist,107.2777
01/12/2010,Vanguard Glb Bd Idx £ H Dist,107.5902
01/13/2010,Vanguard Glb Bd Idx £ H Dist,106.8818
01/14/2010,Vanguard Glb Bd Idx £ H Dist,106.6396
01/15/2010,Vanguard Glb Bd Idx £ H Dist,106.9873
01/16/2010,Vanguard Glb Bd Idx £ H Dist,106.9873
01/17/2010,Vanguard Glb Bd Idx £ H Dist,106.9873
01/18/2010,Vanguard Glb Bd Idx £ H Dist,106.9873
01/19/2010,Vanguard Glb Bd Idx £ H Dist,105.9259
01/20/2010,Vanguard Glb Bd Idx £ H Dist,106.138
01/21/2010,Vanguard Glb Bd Idx £ H Dist,106.7196
01/22/2010,Vanguard Glb Bd Idx £ H Dist,107.4313
01/23/2010,Vanguard Glb Bd Idx £ H Dist,107.4313
01/24/2010,Vanguard Glb Bd Idx £ H Dist,107.4313
01/25/2010,Vanguard Glb Bd Idx £ H Dist,106.9454
01/26/2010,Vanguard Glb Bd Idx £ H Dist,107.2887
01/27/2010,Vanguard Glb Bd Idx £ H Dist,106.9123
01/28/2010,Vanguard Glb Bd Idx £ H Dist,106.8864
01/29/2010,Vanguard Glb Bd Idx £ H Dist,107.4243
01/30/2010,Vanguard Glb Bd Idx £ H Dist,107.4243
01/31/2010,Vanguard Glb Bd Idx £ H Dist,107.4409
02/01/2010,Vanguard Glb Bd Idx £ H Dist,108.1246
02/02/2010,Vanguard Glb Bd Idx £ H Dist,107.9588
02/03/2010,Vanguard Glb Bd Idx £ H Dist,107.8323
02/04/2010,Vanguard Glb Bd Idx £ H Dist,108.795
02/05/2010,Vanguard Glb Bd Idx £ H Dist,109.7422
02/06/2010,Vanguard Glb Bd Idx £ H Dist,109.7422
02/07/2010,Vanguard Glb Bd Idx £ H Dist,109.7422
02/08/2010,Vanguard Glb Bd Idx £ H Dist,109.7808
02/09/2010,Vanguard Glb Bd Idx £ H Dist,110.0206
02/10/2010,Vanguard Glb Bd Idx £ H Dist,109.8725
02/11/2010,Vanguard Glb Bd Idx £ H Dist,109.5024
02/12/2010,Vanguard Glb Bd Idx £ H Dist,109.3459
02/13/2010,Vanguard Glb Bd Idx £ H Dist,109.3459
02/14/2010,Vanguard Glb Bd Idx £ H Dist,109.3459
02/15/2010,Vanguard Glb Bd Idx £ H Dist,109.3459
02/16/2010,Vanguard Glb Bd Idx £ H Dist,109.3879
02/17/2010,Vanguard Glb Bd Idx £ H Dist,108.7455
02/18/2010,Vanguard Glb Bd Idx £ H Dist,109.0735
02/19/2010,Vanguard Glb Bd Idx £ H Dist,109.9561
02/20/2010,Vanguard Glb Bd Idx £ H Dist,109.9561
02/21/2010,Vanguard Glb Bd Idx £ H Dist,109.9561
02/22/2010,Vanguard Glb Bd Idx £ H Dist,109.9247
02/23/2010,Vanguard Glb Bd Idx £ H Dist,110.6968
02/24/2010,Vanguard Glb Bd Idx £ H Dist,110.9091
02/25/2010,Vanguard Glb Bd Idx £ H Dist,112.3577
02/26/2010,Vanguard Glb Bd Idx £ H Dist,113.0514
02/27/2010,Vanguard Glb Bd Idx £ H Dist,113.0514
02/28/2010,Vanguard Glb Bd Idx £ H Dist,113.0804
03/01/2010,Vanguard Glb Bd Idx £ H Dist,114.5668
03/02/2010,Vanguard Glb Bd Idx £ H Dist,115.1174
03/03/2010,Vanguard Glb Bd Idx £ H Dist,114.5585
03/04/2010,Vanguard Glb Bd Idx £ H Dist,114.4135
03/05/2010,Vanguard Glb Bd Idx £ H Dist,113.5783
03/06/2010,Vanguard Glb Bd Idx £ H Dist,113.5783
03/07/2010,Vanguard Glb Bd Idx £ H Dist,113.5783
03/08/2010,Vanguard Glb Bd Idx £ H Dist,113.9469
03/09/2010,Vanguard Glb Bd Idx £ H Dist,114.6537
03/10/2010,Vanguard Glb Bd Idx £ H Dist,114.747
03/11/2010,Vanguard Glb Bd Idx £ H Dist,114.1705
03/12/2010,Vanguard Glb Bd Idx £ H Dist,113.4904
03/13/2010,Vanguard Glb Bd Idx £ H Dist,113.4904
03/14/2010,Vanguard Glb Bd Idx £ H Dist,113.4904
03/15/2010,Vanguard Glb Bd Idx £ H Dist,114.2919
03/16/2010,Vanguard Glb Bd Idx £ H Dist,113.6745
03/17/2010,Vanguard Glb Bd Idx £ H Dist,113.6745
03/18/2010,Vanguard Glb Bd Idx £ H Dist,112.9012
03/19/2010,Vanguard Glb Bd Idx £ H Dist,114.3116
03/20/2010,Vanguard Glb Bd Idx £ H Dist,114.3116
03/21/2010,Vanguard Glb Bd Idx £ H Dist,114.3116
03/22/2010,Vanguard Glb Bd Idx £ H Dist,114.162
03/23/2010,Vanguard Glb Bd Idx £ H Dist,114.1914
03/24/2010,Vanguard Glb Bd Idx £ H Dist,114.1447
03/25/2010,Vanguard Glb Bd Idx £ H Dist,114.0462
03/26/2010,Vanguard Glb Bd Idx £ H Dist,114.0835
03/27/2010,Vanguard Glb Bd Idx £ H Dist,114.0835
03/28/2010,Vanguard Glb Bd Idx £ H Dist,114.0835
03/29/2010,Vanguard Glb Bd Idx £ H Dist,113.7645
03/30/2010,Vanguard Glb Bd Idx £ H Dist,112.6687
03/31/2010,Vanguard Glb Bd Idx £ H Dist,112.5509
04/01/2010,Vanguard Glb Bd Idx £ H Dist,111.7061
04/02/2010,Vanguard Glb Bd Idx £ H Dist,111.7061
04/03/2010,Vanguard Glb Bd Idx £ H Dist,111.7061
04/04/2010,Vanguard Glb Bd Idx £ H Dist,111.7061
04/05/2010,Vanguard Glb Bd Idx £ H Dist,111.7061
04/06/2010,Vanguard Glb Bd Idx £ H Dist,111.584
04/07/2010,Vanguard Glb Bd Idx £ H Dist,111.7046
04/08/2010,Vanguard Glb Bd Idx £ H Dist,111.5798
04/09/2010,Vanguard Glb Bd Idx £ H Dist,110.9878
04/10/2010,Vanguard Glb Bd Idx £ H Dist,110.9878
04/11/2010,Vanguard Glb Bd Idx £ H Dist,110.9878
04/12/2010,Vanguard Glb Bd Idx £ H Dist,111.3067
04/13/2010,Vanguard Glb Bd Idx £ H Dist,111.4563
04/14/2010,Vanguard Glb Bd Idx £ H Dist,110.9271
04/15/2010,Vanguard Glb Bd Idx £ H Dist,110.6609
04/16/2010,Vanguard Glb Bd Idx £ H Dist,111.4872
04/17/2010,Vanguard Glb Bd Idx £ H Dist,111.4872
04/18/2010,Vanguard Glb Bd Idx £ H Dist,111.4872
04/19/2010,Vanguard Glb Bd Idx £ H Dist,112.051
04/20/2010,Vanguard Glb Bd Idx £ H Dist,111.5034
04/21/2010,Vanguard Glb Bd Idx £ H Dist,111.0645
04/22/2010,Vanguard Glb Bd Idx £ H Dist,110.8897
04/23/2010,Vanguard Glb Bd Idx £ H Dist,110.9174
04/24/2010,Vanguard Glb Bd Idx £ H Dist,110.9174
04/25/2010,Vanguard Glb Bd Idx £ H Dist,110.9174
04/26/2010,Vanguard Glb Bd Idx £ H Dist,110.1129
04/27/2010,Vanguard Glb Bd Idx £ H Dist,111.273
04/28/2010,Vanguard Glb Bd Idx £ H Dist,111.6484
04/29/2010,Vanguard Glb Bd Idx £ H Dist,111.3888
04/30/2010,Vanguard Glb Bd Idx £ H Dist,111.5546
05/01/2010,Vanguard Glb Bd Idx £ H Dist,111.5546
05/02/2010,Vanguard Glb Bd Idx £ H Dist,111.5546
05/03/2010,Vanguard Glb Bd Idx £ H Dist,111.5546
05/04/2010,Vanguard Glb Bd Idx £ H Dist,112.2271
05/05/2010,Vanguard Glb Bd Idx £ H Dist,111.8421
05/06/2010,Vanguard Glb Bd Idx £ H Dist,112.7506
05/07/2010,Vanguard Glb Bd Idx £ H Dist,114.7837
05/08/2010,Vanguard Glb Bd Idx £ H Dist,114.7837
05/09/2010,Vanguard Glb Bd Idx £ H Dist,114.7837
05/10/2010,Vanguard Glb Bd Idx £ H Dist,112.8427
05/11/2010,Vanguard Glb Bd Idx £ H Dist,113.4758
05/12/2010,Vanguard Glb Bd Idx £ H Dist,113.5093
05/13/2010,Vanguard Glb Bd Idx £ H Dist,114.8177
05/14/2010,Vanguard Glb Bd Idx £ H Dist,115.6711
05/15/2010,Vanguard Glb Bd Idx £ H Dist,115.6711
05/16/2010,Vanguard Glb Bd Idx £ H Dist,115.6711
05/17/2010,Vanguard Glb Bd Idx £ H Dist,116.2011
05/18/2010,Vanguard Glb Bd Idx £ H Dist,116.4671
05/19/2010,Vanguard Glb Bd Idx £ H Dist,117.0647
05/20/2010,Vanguard Glb Bd Idx £ H Dist,118.129
05/21/2010,Vanguard Glb Bd Idx £ H Dist,117.6476
05/22/2010,Vanguard Glb Bd Idx £ H Dist,117.6476
05/23/2010,Vanguard Glb Bd Idx £ H Dist,117.6476
05/24/2010,Vanguard Glb Bd Idx £ H Dist,117.217
05/25/2010,Vanguard Glb Bd Idx £ H Dist,117.5997
05/26/2010,Vanguard Glb Bd Idx £ H Dist,116.6467
05/27/2010,Vanguard Glb Bd Idx £ H Dist,115.9809
05/28/2010,Vanguard Glb Bd Idx £ H Dist,116.4387
05/29/2010,Vanguard Glb Bd Idx £ H Dist,116.4387
05/30/2010,Vanguard Glb Bd Idx £ H Dist,116.4387
05/31/2010,Vanguard Glb Bd Idx £ H Dist,115.7392
06/01/2010,Vanguard Glb Bd Idx £ H Dist,114.4883
06/02/2010,Vanguard Glb Bd Idx £ H Dist,114.8583
06/03/2010,Vanguard Glb Bd Idx £ H Dist,114.4012
06/04/2010,Vanguard Glb Bd Idx £ H Dist,114.8762
06/05/2010,Vanguard Glb Bd Idx £ H Dist,114.8762
06/06/2010,Vanguard Glb Bd Idx £ H Dist,114.8762
06/07/2010,Vanguard Glb Bd Idx £ H Dist,114.8762
06/08/2010,Vanguard Glb Bd Idx £ H Dist,116.2516
06/09/2010,Vanguard Glb Bd Idx £ H Dist,114.828
06/10/2010,Vanguard Glb Bd Idx £ H Dist,114.2611
06/11/2010,Vanguard Glb Bd Idx £ H Dist,115.2358
06/12/2010,Vanguard Glb Bd Idx £ H Dist,115.2358
06/13/2010,Vanguard Glb Bd Idx £ H Dist,115.2358
06/14/2010,Vanguard Glb Bd Idx £ H Dist,113.8755
06/15/2010,Vanguard Glb Bd Idx £ H Dist,113.7543
06/16/2010,Vanguard Glb Bd Idx £ H Dist,113.6382
06/17/2010,Vanguard Glb Bd Idx £ H Dist,114.4166
06/18/2010,Vanguard Glb Bd Idx £ H Dist,114.4115
06/19/2010,Vanguard Glb Bd Idx £ H Dist,114.4115
06/20/2010,Vanguard Glb Bd Idx £ H Dist,114.4115
06/21/2010,Vanguard Glb Bd Idx £ H Dist,114.2924
06/22/2010,Vanguard Glb Bd Idx £ H Dist,114.5751
06/23/2010,Vanguard Glb Bd Idx £ H Dist,113.815
06/24/2010,Vanguard Glb Bd Idx £ H Dist,113.7329
06/25/2010,Vanguard Glb Bd Idx £ H Dist,113.6269
06/26/2010,Vanguard Glb Bd Idx £ H Dist,113.6269
06/27/2010,Vanguard Glb Bd Idx £ H Dist,113.6269
06/28/2010,Vanguard Glb Bd Idx £ H Dist,112.9256
06/29/2010,Vanguard Glb Bd Idx £ H Dist,113.1615
06/30/2010,Vanguard Glb Bd Idx £ H Dist,114.0655
07/01/2010,Vanguard Glb Bd Idx £ H Dist,113.8412
07/02/2010,Vanguard Glb Bd Idx £ H Dist,113.4977
07/03/2010,Vanguard Glb Bd Idx £ H Dist,113.4977
07/04/2010,Vanguard Glb Bd Idx £ H Dist,113.4977
07/05/2010,Vanguard Glb Bd Idx £ H Dist,113.4977
07/06/2010,Vanguard Glb Bd Idx £ H Dist,113.6493
07/07/2010,Vanguard Glb Bd Idx £ H Dist,113.643
07/08/2010,Vanguard Glb Bd Idx £ H Dist,113.7889
07/09/2010,Vanguard Glb Bd Idx £ H Dist,114.0541
07/10/2010,Vanguard Glb Bd Idx £ H Dist,114.0541
07/11/2010,Vanguard Glb Bd Idx £ H Dist,114.0541
07/12/2010,Vanguard Glb Bd Idx £ H Dist,114.2949
07/13/2010,Vanguard Glb Bd Idx £ H Dist,113.8486
07/14/2010,Vanguard Glb Bd Idx £ H Dist,113.2462
07/15/2010,Vanguard Glb Bd Idx £ H Dist,113.3602
07/16/2010,Vanguard Glb Bd Idx £ H Dist,114.1085
07/17/2010,Vanguard Glb Bd Idx £ H Dist,114.1085
07/18/2010,Vanguard Glb Bd Idx £ H Dist,114.1085
07/19/2010,Vanguard Glb Bd Idx £ H Dist,114.8949
07/20/2010,Vanguard Glb Bd Idx £ H Dist,114.4832
07/21/2010,Vanguard Glb Bd Idx £ H Dist,114.7223
07/22/2010,Vanguard Glb Bd Idx £ H Dist,114.6203
07/23/2010,Vanguard Glb Bd Idx £ H Dist,113.1666
07/24/2010,Vanguard Glb Bd Idx £ H Dist,113.1666
07/25/2010,Vanguard Glb Bd Idx £ H Dist,113.1666
07/26/2010,Vanguard Glb Bd Idx £ H Dist,113.0236
07/27/2010,Vanguard Glb Bd Idx £ H Dist,112.441
07/28/2010,Vanguard Glb Bd Idx £ H Dist,112.2018
07/29/2010,Vanguard Glb Bd Idx £ H Dist,112.7144
